[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run CheckRoute Behavior [ RunTime:0.000818s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ route_check ] --END-- [ RunTime:0.000904s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000525s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000595s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_template ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Run LocationTemplate Behavior [ RunTime:0.000549s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_template ] --END-- [ RunTime:0.000614s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/showDefault | INFO: Tag[ view_parse ] --START--
